name,status,effort,type_line,mana_cost,cmc,rarity,first_set,first_released,keywords,oracle_text,effort_reason
Wingbane Vantasaur,missing,Medium,Creature — Dinosaur,{2}{G}{G},4.0,uncommon,ylci,2023-12-05,"Reach, Conjure","Reach
When Wingbane Vantasaur enters, choose one —
• Conjure a card named Savage Stomp into your hand.
• Conjure a card named Naturalize into your hand.",oracle:choose one
Spined Tyrranax,missing,Medium,Creature — Dinosaur Beast,{4}{G},5.0,uncommon,j25,2024-11-15,,"At the beginning of combat on your turn, you may pay {2}{G}. When you do, put a +1/+1 counter on target creature. That creature gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it's attacking.)",oracle:counter on
Dinosaur Egg,missing,Medium,Creature — Dinosaur Egg,{1}{G},2.0,rare,lcc,2023-11-17,"Evolve, Discover","Evolve (Whenever a creature you control enters, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)
When this creature dies, you may discover X, where X is its toughness.",oracle:whenever a creature you contro
Resolute Veggiesaur,missing,Medium,Creature — Dinosaur Employee,{2}{G},3.0,uncommon,unf,2022-10-07,Trample,"Trample
Whenever you roll your third die each turn, put a +1/+1 counter on this creature.",oracle:counter on
Pterafractyl,missing,Medium,Creature — Dinosaur Fractal,{X}{G}{U},2.0,common,sos,2026-04-24,Flying,"Flying
This creature enters with X +1/+1 counters on it.
When this creature enters, you gain 2 life.",oracle:counters on
Prehistoric Pet,missing,Medium,Creature — Dinosaur Ninja,{W},1.0,rare,tmt,2026-03-06,,"This creature can't be blocked by creatures with greater power.
{1}{W}, {T}: Return another target creature you control to its owner's hand. Activate only during your turn.",oracle:return another target creature
Severance Priest,missing,Medium,Creature — Djinn Cleric,{W}{B}{G},3.0,rare,ptdm,2025-04-11,Deathtouch,"Deathtouch
When this creature enters, target opponent reveals their hand. You may choose a nonland card from it. If you do, exile that card.
When this creature leaves the battlefield, the exiled card's owner creates an X/X white Spirit creature token, where X is the mana value of the exiled card.",oracle:choose a 
Emissary of Soulfire,missing,Medium,Creature — Djinn Monk,{1}{W}{U},3.0,uncommon,mh3,2024-06-14,,"When this creature enters, you get {E}{E}{E} (three energy counters).
Pay {E}{E}: Put an exalted counter on target creature you control. Activate only as a sorcery. (Whenever a creature you control attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents you control.)",oracle:counter on
Stadium Tidalmage,missing,Medium,Creature — Djinn Sorcerer,{2}{U}{R},4.0,common,sos,2026-04-24,,"Whenever this creature enters or attacks, you may draw a card. If you do, discard a card.",oracle:whenever this creature enters 
Tester of the Tangential,missing,Medium,Creature — Djinn Wizard,{1}{U},2.0,uncommon,sos,2026-04-24,Increment,"Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)
At the beginning of combat on your turn, you may pay {X}. When you do, move X +1/+1 counters from this creature onto another target creature.","oracle:whenever you cast a spell, if "
Smirking Spelljacker,missing,Medium,Creature — Djinn Wizard Rogue,{4}{U},5.0,rare,otc,2024-04-19,"Flying, Flash","Flash
Flying
When this creature enters, exile target spell an opponent controls.
Whenever this creature attacks, if a card is exiled with it, you may cast the exiled card without paying its mana cost.",oracle:whenever this creature attacks
District Mascot,missing,Medium,Creature — Dog Mount,{G},1.0,rare,dft,2025-02-14,Saddle,"This creature enters with a +1/+1 counter on it.
{1}{G}, Remove two +1/+1 counters from this creature: Destroy target artifact.
Whenever this creature attacks while saddled, put a +1/+1 counter on it.
Saddle 1",oracle:counter on
Gluttonous Hellkite,missing,Medium,Creature — Dragon,{X}{X}{B}{R}{G},3.0,rare,m3c,2024-06-14,"Flying, Trample","When you cast this spell, each player sacrifices X creatures. This creature enters with two +1/+1 counters on it for each creature sacrificed this way.
Flying, trample",oracle:counters on
Kheru Goldkeeper,missing,Medium,Creature — Dragon,{1}{B}{G}{U},4.0,uncommon,tdm,2025-04-11,"Flying, Renew, Treasure","Flying
Whenever one or more cards leave your graveyard during your turn, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")
Renew — {2}{B}{G}{U}, Exile this card from your graveyard: Put two +1/+1 counters and a flying counter on target creature. Activate only as a sorcery.",oracle:counter on
Parapet Thrasher,missing,Medium,Creature — Dragon,{2}{R}{R},4.0,rare,tdc,2025-04-11,Flying,"Flying
Whenever one or more Dragons you control deal combat damage to an opponent, choose one that hasn't been chosen this turn —
• Destroy target artifact that opponent controls.
• This creature deals 4 damage to each other opponent.
• Exile the top card of your library. You may play it this turn.",oracle:choose one
Twinflame Tyrant,missing,Medium,Creature — Dragon,{3}{R}{R},5.0,mythic,fdn,2024-11-15,Flying,"Flying
If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals double that damage instead.",oracle:would deal damage to an oppone
Dragonfly Swarm,missing,Medium,Creature — Dragon Insect,{1}{U}{R},3.0,uncommon,tla,2025-11-21,"Flying, Ward","Flying, ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
This creature's power is equal to the number of noncreature, nonland cards in your graveyard.
When this creature dies, if there's a Lesson card in your graveyard, draw a card.",oracle:becomes the target
Stone Drake,missing,Medium,Creature — Drake,{3}{U}{B},5.0,rare,mb2,2024-08-02,Flying,"Flying
When Stone Drake enters the battlefield, choose one —
• Distract — Tap target land. Draw a card.
• Enthrall — Target player discards a card for each spell you've cast this turn.",oracle:choose one
Thunderclap Drake,missing,Medium,Creature — Drake,{1}{U},2.0,rare,otc,2024-04-19,Flying,"Flying
Instant and sorcery spells you cast cost {1} less to cast.
{2}{U}, Sacrifice this creature: When you next cast an instant or sorcery spell this turn, copy it for each time you've cast your commander from the command zone this game. You may choose new targets for the copies.",oracle:for each
Fell Beast of Mordor,missing,Medium,Creature — Drake Beast,{2}{B}{B},4.0,rare,ltc,2023-11-03,"Flying, Devour","Flying
Devour 1 (As this creature enters, you may sacrifice any number of creatures. It enters with that many +1/+1 counters on it.)
Whenever this creature enters or attacks, target opponent loses X life and you gain X life, where X is the number of +1/+1 counters on it.",oracle:counters on
Growing Detective,missing,Medium,Creature — Dryad Detective,{2}{G},3.0,common,unk,2024-02-24,,"At the beginning of your upkeep, if all your commanders have been revealed, put a +1/+1 counter on Growing Detective.",oracle:counter on
Pest Rescuer,missing,Medium,Creature — Dryad Druid,{2}{G},3.0,rare,soc,2026-04-24,,"At the beginning of each upkeep, if you don't control a Pest creature token, create a 1/1 black and green Pest creature token with ""When this token dies, you gain 1 life.""
If you would gain life, you gain that much life plus 1 instead.","oracle:would gain life, you gain that"
Inventive Wingsmith,missing,Medium,Creature — Dwarf Artificer,{2}{W},3.0,common,otj,2024-04-19,,"At the beginning of your end step, if you haven't cast a spell from your hand this turn and this creature doesn't have a flying counter on it, put a flying counter on it.",oracle:counter on
Scolding Administrator,missing,Medium,Creature — Dwarf Cleric,{W}{B},2.0,uncommon,sos,2026-04-24,"Menace, Repartee","Menace (This creature can't be blocked except by two or more creatures.)
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, put a +1/+1 counter on this creature.
When this creature dies, if it had counters on it, put those counters on up to one target creature.",oracle:counter on
Territory Culler,missing,Medium,Creature — Eldrazi,{4}{G},5.0,uncommon,mh3,2024-06-14,"Reach, Devoid, Landfall","Devoid (This card has no color.)
Reach
Landfall — Whenever a land you control enters, look at the top card of your library. If it's a creature card, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard.",oracle:landfall
Muraganda Eldrazi,missing,Medium,Creature — Eldrazi Dinosaur,{4}{W},5.0,rare,mb2,2024-08-02,Devoid,"Devoid (This card has no color.)
Deworded (This creature counts as having no abilities.)
When you cast this spell, put a primeval counter on target creature. (A creature with a primeval counter loses all abilities and can't gain abilities.)",oracle:counter on
Mutated Cultist,missing,Medium,Creature — Eldrazi Horror,{2}{B},3.0,rare,m3c,2024-06-14,"Devoid, Deathtouch","Devoid (This card has no color.)
When you cast this spell, remove all counters from up to one target permanent or opponent. The next spell you cast this turn costs {1} less to cast for each counter removed this way.
Deathtouch",oracle:for each
Havoc Eater,missing,Medium,Creature — Elemental,{5}{R}{R},7.0,rare,mkc,2024-02-09,"Flying, Goad","Flying
When this creature enters, for each opponent, goad up to one target creature that opponent controls. Put X +1/+1 counters on this creature, where X is the total power of creatures goaded this way.",oracle:for each
Living Conundrum,missing,Medium,Creature — Elemental,{4}{U},5.0,uncommon,mkm,2024-02-09,Hexproof,"Hexproof
If you would draw a card while your library has no cards in it, skip that draw instead.
As long as there are no cards in your library, this creature has base power and toughness 10/10 and has flying and vigilance.",oracle:would draw a card while your l
Rotisserie Elemental,missing,Medium,Creature — Elemental,{R},1.0,rare,pwoe,2023-09-08,Menace,"Menace
Whenever this creature deals combat damage to a player, put a skewer counter on this creature. Then you may sacrifice it. If you do, exile the top X cards of your library, where X is the number of skewer counters on this creature. You may play those cards this turn.",oracle:counter on
Search Elemental,missing,Medium,Creature — Elemental,{U},1.0,rare,mb2,2024-08-02,Scry,"Whenever you search your library, scry 1.
Scryfall — Whenever you scry, put a +1/+1 counter on Search Elemental. It can't be blocked this turn.",oracle:counter on
Tchotchke Elemental,missing,Medium,Creature — Elemental,{G},1.0,rare,unf,2022-10-07,,"Whenever you create a token or put a counter or a sticker on another permanent, put a knickknack counter on this creature. Use a unique item that completely fits on this creature for each knickknack counter.
This creature gets +1/+1 for each knickknack counter on it.",oracle:counter on
Tidewalker,missing,Medium,Creature — Elemental,{2}{U},3.0,uncommon,plc,2007-02-02,Vanishing,"This creature enters with a time counter on it for each Island you control.
Vanishing (At the beginning of your upkeep, remove a time counter from this creature. When the last is removed, sacrifice it.)
Tidewalker's power and toughness are each equal to the number of time counters on it.",oracle:counter on
Titan of Industry,missing,Medium,Creature — Elemental,{4}{G}{G}{G},7.0,mythic,snc,2022-04-29,"Reach, Trample","Reach, trample
When this creature enters, choose two —
• Destroy target artifact or enchantment.
• Target player gains 5 life.
• Create a 4/4 green Rhino Warrior creature token.
• Put a shield counter on a creature you control.",oracle:choose two
Try-My-Deck Elemental,missing,Medium,Creature — Elemental,{3}{W},4.0,rare,unk,2023-07-29,Flying,"Flying
Commander spells you cast have demonstrate. (When you cast a commander spell, you may copy it. If you do, choose an opponent to also copy it. The copies become tokens.)
The ""legend rule"" doesn't apply to commanders you control.",oracle:choose an opponent
Windy City Elemental,missing,Medium,Creature — Elemental,{3}{W}{W},5.0,uncommon,unk,2024-02-24,"Flying, Ascend","Flying
Ascend MagicCon Chicago (If you attended MagicCon Chicago and control ten or more permanents, you get the windy city's blessing for the rest of the game.)
Whenever Windy City Elemental attacks, if you have the windy city's blessing, put a +1/+1 counter on each creature you control with flying.",oracle:whenever windy city elemental 
Driftgloom Coyote,missing,Medium,Creature — Elemental Coyote,{3}{W}{W},5.0,uncommon,blb,2024-08-02,,"When this creature enters, exile target creature an opponent controls until this creature leaves the battlefield. If that creature had power 2 or less, put a +1/+1 counter on this creature.",oracle:counter on
Belonging,missing,Medium,Creature — Elemental Incarnation,{5}{W},6.0,rare,ecc,2026-01-23,Encore,"When this creature enters, create three 1/1 colorless Shapeshifter creature tokens with changeling. (They're every creature type.)
Encore {6}{W}{W} ({6}{W}{W}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)",oracle:for each
Impulsivity,missing,Medium,Creature — Elemental Incarnation,{6}{R},7.0,rare,ecc,2026-01-23,Encore,"When this creature enters, you may cast target instant or sorcery card from a graveyard without paying its mana cost. If that spell would be put into a graveyard, exile it instead.
Encore {7}{R}{R} ({7}{R}{R}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)","oracle:would be put into a graveyard,"
Jubilation,missing,Medium,Creature — Elemental Incarnation,{5}{G},6.0,rare,ecc,2026-01-23,Encore,"When this creature enters, creatures you control get +2/+2 and gain trample until end of turn.
Encore {7}{G}{G} ({7}{G}{G}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)",oracle:for each
Lamentation,missing,Medium,Creature — Elemental Incarnation,{5}{B},6.0,rare,ecc,2026-01-23,Encore,"When this creature enters, destroy target creature an opponent controls. You gain 3 life.
Encore {6}{B}{B} ({6}{B}{B}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)",oracle:for each
Subterfuge,missing,Medium,Creature — Elemental Incarnation,{4}{U},5.0,rare,ecc,2026-01-23,Encore,"When this creature enters, target creature gains flying and ""Whenever this creature deals combat damage to a player, draw that many cards"" until end of turn.
Encore {7}{U}{U} ({7}{U}{U}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)",oracle:for each
Ice Flan,missing,Medium,Creature — Elemental Ooze,{4}{U}{U},6.0,common,fin,2025-06-13,"Islandcycling, Landcycling, Typecycling, Cycling","When this creature enters, tap target artifact or creature an opponent controls. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",oracle:counter on
Charging Cinderhorn,missing,Medium,Creature — Elemental Ox,{3}{R},4.0,rare,c16,2016-11-11,Haste,"Haste
At the beginning of each player's end step, if no creatures attacked this turn, put a fury counter on this creature. Then this creature deals damage equal to the number of fury counters on it to that player.",oracle:at the beginning of each playe
Rottenmouth Viper,missing,Medium,Creature — Elemental Snake,{5}{B},6.0,mythic,pblb,2024-08-02,,"As an additional cost to cast this spell, you may sacrifice any number of nonland permanents. This spell costs {1} less to cast for each permanent sacrificed this way.
Whenever this creature enters or attacks, put a blight counter on it. Then for each blight counter on it, each opponent loses 4 life unless that player sacrifices a nonland permanent of their choice or discards a card.",oracle:for each
Water Weird,missing,Medium,Creature — Elemental Weird,{3}{U},4.0,common,hbg,2022-07-07,Mill,"Whenever Water Weird deals combat damage to a player, put a +1/+1 counter on Water Weird if the top card of your library is a nonland card. Otherwise, you may mill a card.
{1}{U}: Water Weird gets +1/-1 until end of turn.",oracle:counter on
Spectacular Skywhale,missing,Medium,Creature — Elemental Whale,{2}{U}{R},4.0,uncommon,sos,2026-04-24,"Flying, Opus","Flying
Opus — Whenever you cast an instant or sorcery spell, this creature gets +3/+0 until end of turn. If five or more mana was spent to cast that spell, put three +1/+1 counters on this creature instead.",oracle:counters on
Inkshape Demonstrator,missing,Medium,Creature — Elephant Cleric,{3}{W},4.0,uncommon,sos,2026-04-24,"Ward, Repartee","Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, this creature gets +1/+0 and gains lifelink until end of turn.",oracle:becomes the target
Elephant-Mandrill,missing,Medium,Creature — Elephant Monkey,{2}{G},3.0,uncommon,tle,2025-11-21,"Reach, Food","Reach
When this creature enters, each player creates a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
At the beginning of combat on your turn, this creature gets +1/+1 until end of turn for each artifact your opponents control.",oracle:for each
Peema Trailblazer,missing,Medium,Creature — Elephant Warrior,{2}{G},3.0,rare,drc,2025-02-14,"Trample, Exhaust","Trample
Whenever this creature deals combat damage to a player, you get that many {E} (energy counters).
Exhaust — Pay six {E}: Put two +1/+1 counters on this creature. Then draw cards equal to the greatest power among creatures you control. (Activate each exhaust ability only once.)",oracle:counters on
Sumala Sentry,missing,Medium,Creature — Elf Archer,{G}{W},2.0,uncommon,mkm,2024-02-09,Reach,"Reach
Whenever a face-down permanent you control is turned face up, put a +1/+1 counter on it and a +1/+1 counter on this creature.",oracle:counter on
Boss's Chauffeur,missing,Medium,Creature — Elf Citizen,{4}{W},5.0,rare,ncc,2022-04-29,Alliance,"This creature enters with a number of +1/+1 counters on it equal to one plus the number of other creatures you control.
Alliance — Whenever another creature you control enters, put a +1/+1 counter on this creature.
When this creature dies, create a 1/1 green and white Citizen creature token for each +1/+1 counter on it.",oracle:counters on
Vitu-Ghazi Inspector,missing,Medium,Creature — Elf Detective,{1}{G},2.0,common,mkm,2024-02-09,"Collect evidence, Reach","As an additional cost to cast this spell, you may collect evidence 6. (Exile cards with total mana value 6 or greater from your graveyard.)
Reach
When this creature enters, if evidence was collected, put a +1/+1 counter on target creature and you gain 2 life.",oracle:counter on
A-Celebrity Fencer,missing,Medium,Creature — Elf Druid,{3}{W},4.0,common,snc,2022-10-06,Alliance,"Alliance — Whenever another creature enters under your control, put a +1/+1 counter on Celebrity Fencer.",oracle:counter on
Elvish Refueler,missing,Medium,Creature — Elf Druid,{2}{G},3.0,uncommon,dft,2025-02-14,Exhaust,"During your turn, as long as you haven't activated an exhaust ability this turn, you may activate exhaust abilities as though they haven't been activated.
Exhaust — {1}{G}: Put a +1/+1 counter on this creature. (Activate each exhaust ability only once.)",oracle:counter on
Gala Greeters,missing,Medium,Creature — Elf Druid,{1}{G},2.0,rare,psnc,2022-04-29,"Alliance, Treasure","Alliance — Whenever another creature you control enters, choose one that hasn't been chosen this turn —
• Put a +1/+1 counter on this creature.
• Create a tapped Treasure token.
• You gain 2 life.",oracle:choose one
Thornfist Striker,missing,Medium,Creature — Elf Druid,{2}{G},3.0,uncommon,sos,2026-04-24,"Infusion, Ward","Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
Infusion — Creatures you control get +1/+0 and have trample as long as you gained life this turn.",oracle:becomes the target
Topiary Lecturer,missing,Medium,Creature — Elf Druid,{2}{G},3.0,uncommon,sos,2026-04-24,Increment,"Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)
{T}: Add an amount of {G} equal to this creature's power.","oracle:whenever you cast a spell, if "
Alpha Guard,missing,Medium,Creature — Elf Employee,{1}{G},2.0,common,unf,2022-10-07,,"When this creature enters, choose a letter.
{T}: Untap another target permanent whose name starts with the chosen letter.",oracle:choose a 
Sentinel of Lost Lore,missing,Medium,Creature — Elf Knight,{1}{G}{G},3.0,rare,pwoe,2023-09-08,,"When this creature enters, choose one or more —
• Return target card you own in exile that has an Adventure to your hand.
• Put target card you don't own in exile that has an Adventure on the bottom of its owner's library.
• Exile target player's graveyard.",oracle:choose one
Experiment Twelve,missing,Medium,Creature — Elf Lizard Warrior,{3}{G},4.0,rare,mkc,2024-02-09,"Trample, Disguise","Trample
Whenever this creature or another creature you control is turned face up, put +1/+1 counters on that creature equal to its power.
Disguise {4}{G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)",oracle:counters on
Atomwheel Acrobats,missing,Medium,Creature — Elf Performer,{3}{G},4.0,common,unf,2022-10-07,,"Whenever you roll a 1 or 2, put that many +1/+1 counters on this creature.
{2}{G}: Roll a six-sided die.",oracle:counters on
A-Thornmantle Striker,missing,Medium,Creature — Elf Rogue,{3}{B},4.0,uncommon,khm,2022-04-07,,"When Thornmantle Striker enters, choose one —
• Remove X counters from target permanent, where X is the number of Elves you control.
• Target creature an opponent controls gets -X/-X until end of turn, where X is the number of Elves you control.",oracle:choose one
Cryptid Inspector,missing,Medium,Creature — Elf Warrior,{2}{G},3.0,common,dsk,2024-09-27,Vigilance,"Vigilance
Whenever a face-down permanent you control enters and whenever this creature or another permanent you control is turned face up, put a +1/+1 counter on this creature.",oracle:counter on
Plane-Merge Elf,missing,Medium,Creature — Elf Warrior,{4}{G},5.0,rare,cmb1,2019-11-07,"Kinfall, Landship","Landship — At the beginning of your upkeep, you may look at the top card of your library. If it's a land, you may reveal it. If you do, create a 1/1 green Elf Warrior creature token.
Kinfall — Whenever a creature enters the battlefield under your control, if it shares a creature type with Plane-Merge Elf, creatures you control get +1/+1 until end of turn.",oracle:whenever a creature enters the
Fractal Tender,missing,Medium,Creature — Elf Wizard,{3}{G}{U},5.0,uncommon,sos,2026-04-24,"Ward, Increment","Ward {2}
Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)
At the beginning of each end step, if you put a counter on this creature this turn, create a 0/0 green and blue Fractal creature token and put three +1/+1 counters on it.","oracle:whenever you cast a spell, if "
Rumor Gatherer,missing,Medium,Creature — Elf Wizard,{1}{W}{W},3.0,uncommon,snc,2022-04-29,"Alliance, Scry","Alliance — Whenever another creature you control enters, scry 1. If this is the second time this ability has resolved this turn, draw a card instead.",oracle:whenever another creature you 
Crimestopper Sprite,missing,Medium,Creature — Faerie Detective,{2}{U},3.0,common,mkm,2024-02-09,"Flying, Collect evidence","As an additional cost to cast this spell, you may collect evidence 6. (Exile cards with total mana value 6 or greater from your graveyard.)
Flying
When this creature enters, tap target creature. If evidence was collected, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",oracle:counter on
Nurturing Pixie,missing,Medium,Creature — Faerie Rogue,{W},1.0,uncommon,otj,2024-04-19,Flying,"Flying
When this creature enters, return up to one target non-Faerie, nonland permanent you control to its owner's hand. If a permanent was returned this way, put a +1/+1 counter on this creature.",oracle:counter on
Frost Fair Lure Fish,missing,Medium,Creature — Fish,{5}{U}{R},7.0,rare,who,2023-10-13,"Treasure, Foretell","When this creature enters, create two 1/1 blue Fish creature tokens and create two tapped Treasure tokens.
Fish you control have haste and can't be blocked by Humans.
Foretell {3}{U}{R}",oracle:foretell
Slithering Cryptid,missing,Medium,Creature — Fish Mutant,{2}{G/U},3.0,common,tmt,2026-03-06,,"When this creature enters, create a Mutagen token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Put a +1/+1 counter on target creature. Activate only as a sorcery."")",oracle:counter on
Fearless Swashbuckler,missing,Medium,Creature — Fish Pirate,{1}{U}{R},3.0,rare,dft,2025-02-14,Haste,"Haste
Vehicles you control have haste.
Whenever you attack, if a Pirate and a Vehicle attacked this combat, draw three cards, then discard two cards.","oracle:whenever you attack, if "
Dutiful Knowledge Seeker,missing,Medium,Creature — Fox Spirit,{2}{U},3.0,uncommon,tle,2025-11-21,,"Whenever one or more cards are put into a library from anywhere, put a +1/+1 counter on this creature.
{3}: Put target card from a graveyard on the bottom of its owner's library.",oracle:counter on
Knowledge Seeker,missing,Medium,Creature — Fox Spirit,{1}{U},2.0,uncommon,tla,2025-11-21,Vigilance,"Vigilance
Whenever you draw your second card each turn, put a +1/+1 counter on this creature.
When this creature dies, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",oracle:counter on
Fractal Mascot,missing,Medium,Creature — Fractal Elk,{4}{G}{U},6.0,common,sos,2026-04-24,Trample,"Trample
When this creature enters, tap target creature an opponent controls. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",oracle:counter on
Rampant Frogantua,missing,Medium,Creature — Frog,{2}{G},3.0,rare,m3c,2024-06-14,"Trample, Mill","Trample
This creature gets +10/+10 for each player who has lost the game.
Whenever this creature deals combat damage to a player, you may mill that many cards. Put any number of land cards from among them onto the battlefield tapped.",oracle:for each
Punk Frogs,missing,Medium,Creature — Frog Mutant Rebel,{3}{G/U}{G/U},5.0,common,tmt,2026-03-06,Ward,"Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)",oracle:becomes the target
Frogkin Kidnapper,missing,Medium,Creature — Frog Rogue,{1}{B},2.0,rare,cmb1,2019-11-07,,"When Frogkin Kidnapper enters, target opponent reveals their hand. Choose a nonland card from it. Ransom that card. (Exile it. Its owner may pay {3} at any time to return it to their hand.)",oracle:choose a 
Leaf-Leap Guide,missing,Medium,Creature — Frog Scout,{G}{U},2.0,mythic,yblb,2024-08-20,Vigilance,"Vigilance
Whenever another creature you control enters, Leaf-Leap Guide and that creature perpetually get +1/+1.
{1}, {T}: Return another target creature you control to its owner's hand.",oracle:return another target creature
Dour Port-Mage,missing,Medium,Creature — Frog Wizard,{1}{U},2.0,rare,pblb,2024-08-02,,"Whenever one or more other creatures you control leave the battlefield without dying, draw a card.
{1}{U}, {T}: Return another target creature you control to its owner's hand.",oracle:return another target creature
Textbook Tabulator,missing,Medium,Creature — Frog Wizard,{2}{U},3.0,common,sos,2026-04-24,"Surveil, Increment","Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)","oracle:whenever you cast a spell, if "
Propagator Primordium,missing,Medium,Creature — Fungus,{1}{G},2.0,rare,ylci,2023-12-05,Conjure,"When Propagator Primordium enters, conjure two cards named Propagator Primordium into your graveyard.
At the beginning of your upkeep, put a spore counter on Propagator Primordium.
Remove three spore counters from Propagator Primordium: Return target Fungus creature card from your graveyard to the battlefield.",oracle:counter on
Slimy Piper,missing,Medium,Creature — Fungus Bard,{1}{G},2.0,common,j25,2024-11-15,,"Whenever this creature attacks, it gets +1/+1 until end of turn. If you control four or more creatures, it gets +2/+2 and gains indestructible until end of turn instead. (Damage and effects that say ""destroy"" don't destroy it.)",oracle:whenever this creature attacks
Jötun Owl Keeper,missing,Medium,Creature — Giant,{2}{W},3.0,uncommon,csp,2006-07-21,Cumulative upkeep,"Cumulative upkeep {W} or {U} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
When this creature dies, create a 1/1 white Bird creature token with flying for each age counter on it.",oracle:counter on
Jötun Grunt,missing,Medium,Creature — Giant Soldier,{1}{W},2.0,uncommon,csp,2006-07-21,Cumulative upkeep,"Cumulative upkeep—Put two cards from a single graveyard on the bottom of their owner's library. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)",oracle:counter on
Adaptive Armorer,missing,Medium,Creature — Giant Warrior,{2}{W}{W},4.0,rare,yecl,2026-02-03,Vigilance,"Vigilance
When this creature enters, draft a card from Adaptive Armorer's spellbook and put it onto the battlefield. When an Equipment enters this way, attach it to target creature you control.",oracle:attach
Hungry Graffalon,missing,Medium,Creature — Giraffe,{3}{G},4.0,common,sos,2026-04-24,"Reach, Increment","Reach
Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)","oracle:whenever you cast a spell, if "
Gnoll Hunting Party,missing,Medium,Creature — Gnoll,{5}{R},6.0,uncommon,hbg,2022-07-07,Double team,"This spell costs {1} less to cast for each creature you attacked with this turn.
Double team
As long as it's your turn, Gnoll Hunting Party has first strike.",oracle:for each
Frantic Scapegoat,missing,Medium,Creature — Goat,{R},1.0,uncommon,mkm,2024-02-09,"Suspect, Haste","Haste
When this creature enters, suspect it. (It has menace and can't block.)
Whenever one or more other creatures you control enter, if this creature is suspected, you may suspect one of the other creatures. If you do, this creature is no longer suspected.",oracle:whenever one or more other cre
Oft-Nabbed Goat,missing,Medium,Creature — Goat,{1}{B},2.0,rare,ecc,2026-01-23,,"{1}: Draw a card. Gain control of this creature and put a -1/-1 counter on it. Only your opponents may activate this ability and only as a sorcery.
When this creature dies, if it had one or more -1/-1 counters on it, its owner draws that many cards and each other player loses that much life.",oracle:counter on
Boulder Jockey,missing,Medium,Creature — Goblin,{2}{R}{D},3.0,rare,mb2,2024-08-02,,"({D} is a land drop. You may give up one potential land drop this turn to pay for {D}.)
Whenever Boulder Jockey attacks, you may pay {D}. If you do, create a 3/3 colorless Construct artifact creature token named Boulder that's tapped and attacking. Sacrifice that token at the beginning of the next end step.",oracle:whenever boulder jockey attack
